id,nama,email,no_hp,tanggal_daftar,status
42,Ayu Hartono,ayu204@gmail.com,08583149190,23 Nov 2021,nonaktif
43,Fajar Wijaya,fajar350@gmail.com,08517165726,2019/12/23,Nonaktif
44,Fauzi Iskandar,fauzi552@hotmail.com,08526945314,2023-01-21,Pending
45,Nisa Iskandar,nisa345@gmail.com,08525273545,19 Feb 2021,pending
46,fauzi hakim,fauzi971@yahoo.com,08123678377,2023-01-10,aktif
47,Yuni Hartono,yuni314@ymail.com,08237885685,2021/12/12,nonaktif
48,Wahyu Susanto,wahyu739@yahoo.com,08231823374,11 Aug 2024,NON AKTIF
49,Andi Wibowo,andi370@yahoo.com,08220824008,2021/04/11,Suspend
50,Bambang Kusuma,bambang588@outlook.com,08527752047,2019-04-13,nonaktif
51,Rizki Ramadhan,rizki55@yahoo.com,08139413186,19 Oct 2024,Pending
52,Yuni Firmansyah,yuni931@hotmail.com,08229649909,2019-02-11,non-aktif
53,mega wiJAyA,mega947@outlook.com,08583618324,2019-08-06,aktif
54,Wahyu Iskandar,wahyu583@outlook.com,08521746488,2023-16-07,aktif
55,Ahmad Saputra,ahmad619@outlook.com,08111399049,2018-06-14,nonaktif
56,MAya sUSaNtO,maya834@ymail.com,08117154516,2023-10-09,nonaktiff
57,Wulan Laksono,wulan193@ymail.com,08239770348,21-06-2019,nonaktif
58,bambang kusuma,bambang646@ymail.com,08212480861,2020-07-09,nonaktif
59,Sri Pratama,sri734@outlook.com,08534677378,2019-16-08,Aktif
60,Febri Firmansyah,febri140@gmail.com,08226584044,01 Aug 2024,suspand
61,Bambang Pratama,bambang496@outlook.com,08238867533,2024-31-05,Aktif
62,Sari Rahayu,sari485@hotmail.com,08512702895,2019-16-02,aktif
63,Doni Santoso,doni420@yahoo.com,08127459615,2023-26-12,Suspend
64,bambang hakim,bambang71@yahoo.com,08223161172,2021-05-11,aktif
65,Dewi Purnomo,dewi442@yahoo.com,08218692221,2024-01-11,non-aktif
66,Reza Permana,reza147@yahoo.com,08524740748,2019-10-10,nonaktif
67,Putri Ramadhan,putri986@hotmail.com,08227436713,12 Apr 2022,aktip
68,lestari purnomo,lestari850@hotmail.com,08220909743,22-10-2024,Aktif
69,Fitri Iskandar,sari486@outlook.com,08120470952,05-01-2019,aktiff
70,Sari Sari,sari806@ymail.com,08238842474,2021-10-19,nonaktif
71,Rizki Pratama,rizki232@hotmail.com,08535160481,06-02-2023,pending
72,Mega Ramadhan,mega654@outlook.com,08123709859,2020/06/25,aktif
73,Doni Purnomo,doni120@yahoo.com,08110471138,2019-10-07,nonaktif
74,Wulan Saputra,fauzi74@outlook.com,08511796405,2020-08-06,nonaktif
75,REZA NUGROHO,reza703@outlook.com,08535064317,2019/01/11,Aktif
76,febri santoso,febri342@yahoo.com,08139318393,12-08-2020,Pending
77,Febri Santoso,febri149@yahoo.com,08534210205,01 Sep 2020,AKTIF
78,agus susanto,agus760@hotmail.com,08531177589,2019-23-03,Nonaktif
79,Galih Rahayu,galih931@ymail.com,08227007661,2023/07/02,suspend
80,Rizki Wijaya,rizki152@gmail.com,08134998569,14-12-2023,nonaktif
81,FEBRI SAPUTRA,febri719@gmail.com,08533673657,2022-22-06,pending
82,Indah Saputra,indah262@outlook.com,08137111161,2022-03-07,Nonaktif
83,Eko Hakim,eko687@gmail.com,08515604945,01 Mar 2019,Nonaktif
84,Rina Permana,rina111@outlook.com,08535149368,21 Dec 2024,pending
85,Surya Santoso,surya674@outlook.com,08112445502,10 Aug 2019,nonaktiff
86,Rizki Pratama,rizki996@gmail.com,08128366752,24-02-2022,pending
87,NISA ISKANDAR,nisa54@yahoo.com,08139014767,2024-22-10,nonaktif
88,HENDRA FIRMANSYAH,hendra441@gmail.com,08229784036,2024-09-20,aktif
89,Wahyu Wibowo,wahyu783@outlook.com,08225107622,07 Apr 2022,pending
90,Ratna Hakim,ratna826@outlook.com,08126060715,2024-16-06,Nonaktif
91,SARI PURNOMO,sari22@outlook.com,08139751613,20 Nov 2022,nonaktif
92,Nur Hartono,nur764@outlook.com,08215218188,05-03-2020,aktiff
93,RINA HIDAYAT,rina263@yahoo.com,08139212779,2024-01-07,pending
94,Nisa Iskandar,nisa995@outlook.com,08137177449,19-08-2018,Nonaktif
95,Wahyu Laksono,wahyu59@outlook.com,08221199867,05 Jul 2024,Suspend
96,Ahmad Laksono,ahmad586@yahoo.com,08239782071,2021/11/07,aktif
97,Agus Rahayu,agus449@hotmail.com,08538925546,02-08-2022,pending
98,dewi setiawan,dewi97@ymail.com,08514492519,03-08-2019,AKTIF
99,Rudi Pratama,rudi961@gmail.com,08228652816,14-09-2023,aktif
100,Wahyu Sari,wahyu350@hotmail.com,08213221418,2024/01/20,suspend
101,Ahmad Setiawan,ahmad633@yahoo.com,08586222927,2018-28-06,aktip
102,Reza Laksono,reza771@hotmail.com,08218347359,2022-10-12,Pending
103,Ayu Firmansyah,ayu990@yahoo.com,08219240758,2019/02/25,panding
104,SRI PURNOMO,sri165@outlook.com,08528261375,2018-20-04,aktif
105,Ratna Nugroho,ratna84@outlook.com,08210515220,2021-21-03,pending
106,Muhammad Permana,muhammad6@gmail.com,08114328986,01-04-2019,Aktif
107,Sri Rahayu,sri655@ymail.com,08521179808,2024-06-13,pending
108,lestari saputra,lestari362@yahoo.com,08586218518,07 Feb 2024,Pending
109,ratna hakim,ratna895@hotmail.com,08116540515,2020/09/14,nonaktiff
110,Andi Ramadhan,andi341@yahoo.com,08115852772,2019-07-07,pending
111,Doni Rahayu,doni45@yahoo.com,08115486874,2018/05/30,Aktif
112,Putri Rahayu,putri340@outlook.com,08125667652,2023/07/26,Nonaktif
113,Hendro Susanto,hendro745@hotmail.com,08126928451,24-11-2018,nonaktiff
114,Wahyu Laksono,wahyu437@yahoo.com,08525705964,2018-08-23,pending
115,Rudi Nugroho,rudi768@yahoo.com,08112970213,09-02-2022,nonaktif
116,Nisa Rahayu,nisa696@hotmail.com,08235719285,19-06-2022,nonaktiff
117,reza kusuma,reza191@hotmail.com,08536814473,11-11-2024,pending
118,BAMBANG WIBOWO,bambang874@gmail.com,08522715518,30-01-2024,suspend
119,Dian Sari,dian521@yahoo.com,08123237058,02-06-2024,nonaktif
120,Surya Pratama,surya89@gmail.com,08226786691,29-05-2019,nonaktiff
121,Maya Laksono,hendra602@ymail.com,08539226801,2023-10-24,AKTIF
122,Dian Setiawan,dian231@outlook.com,08534143842,25 May 2021,Nonaktif
123,Ratna Sari,ratna595@yahoo.com,08139959001,2018/07/06,Pending
124,Mega Wibowo,mega427@ymail.com,08117844736,2021-03-05,aktif
125,Dewi Sari,dewi496@hotmail.com,08215925556,20-06-2019,Nonaktif
126,Andi Setiawan,andi126@outlook.com,08523210469,2022-09-09,SUSPEND
127,Dian Setiawan,dian739@outlook.com,08212787747,2018-04-05,Suspend
128,Ratna Laksono,hendro164@hotmail.com,08230047974,2024-01-08,panding
129,Teguh Pratama,teguh745@outlook.com,08515060983,24 Jan 2022,AKTIF
130,Ayu Firmansyah,ayu564@outlook.com,08589121655,03-04-2024,Pending
131,Fitri Iskandar,fitri513@gmail.com,08110257872,19 Oct 2024,aktif
132,GAliH SeTiAWAN,galih743@gmail.com,08587499309,2023-05-22,Nonaktif
133,GaLih hArTONO,galih64@yahoo.com,08533857865,2019-11-12,suspend
134,Bagas Hakim,bagas791@outlook.com,08587334843,04-05-2021,pending
135,Bambang Setiawan,bambang574@outlook.com,08221986652,2021-04-04,AKTIF
136,Nur Nugroho,nur672@outlook.com,08523384842,24 Mar 2019,pending
137,reza hidayat,reza927@ymail.com,08213016571,2019-07-18,SUSPEND
138,Dian Saputra,dian902@hotmail.com,08523454019,09 Aug 2020,pending
139,Ahmad Sari,ahmad858@yahoo.com,08116724004,15 May 2024,aktif
140,Bagas Purnomo,bagas657@ymail.com,08537287431,2021-09-16,pending
141,mega sari,mega346@outlook.com,08583296685,2018-22-12,pending
142,Agus Pratama,agus959@yahoo.com,08114637454,2024/07/13,Nonaktif
143,Mega Nugroho,mega64@gmail.com,08524268414,14 Feb 2022,Aktif
144,MUhAmMAd PErmAnA,muhammad64@ymail.com,08533982258,2022-12-15,pending
145,EKO PERMANA,eko523@hotmail.com,08117286790,2024-07-04,pending
146,Wahyu Santoso,wahyu837@gmail.com,08219106518,2018-09-04,suspand
147,Citra Rahayu,citra185@yahoo.com,08515676618,2019/06/29,suspend
148,Sri Sari,sri403@ymail.com,08133004786,2023-19-12,PENDING
149,Reza Laksono,reza283@yahoo.com,08120690331,18 Feb 2019,aktif
150,Febri Rahayu,mega654@outlook.com,08523830284,2020/08/17,NON AKTIF
151,Nisa Iskandar,nisa839@outlook.com,08214283644,07 Sep 2018,Suspend
152,Agus Saputra,agus49@outlook.com,08518566246,24 Jan 2020,nonaktif
153,Yuni Purnomo,yuni148@hotmail.com,08118668826,21-09-2020,Aktif
154,Nur Laksono,nur95@ymail.com,08210469901,10 Feb 2020,pending
155,Surya Wibowo,surya891@outlook.com,08220331739,2020-17-04,Suspend
156,Surya Setiawan,surya390@hotmail.com,08535445877,2019/02/08,nonaktif
157,Indah Wibowo,indah424@gmail.com,08583204899,07-09-2022,aktif
158,Bagas Hidayat,bagas854@yahoo.com,08528547772,2021-12-13,aktif
159,WULAN PermAna,wulan224@ymail.com,08525099770,28 Jan 2018,Nonaktif
160,Budi Santoso,budi282@ymail.com,08220862118,2019-09-02,Aktif
161,Hendro Susanto,hendro274@hotmail.com,08125679334,2018/11/27,suspand
162,Ahmad Wijaya,ahmad387@ymail.com,08520021765,2024-05-06,suspend
163,Ahmad Hidayat,ahmad889@ymail.com,08524014890,05-01-2020,aktif
164,HENdRA RAmADHaN,hendra355@gmail.com,08126315999,13-06-2022,aktif
165,Fauzi Laksono,fauzi365@ymail.com,08516296194,2020/10/06,aktif
166,Fauzi Pratama,fauzi803@yahoo.com,08515511047,14-01-2022,aktif
167,Nur Sari,nur571@ymail.com,08536101581,11 Sep 2024,Pending
168,Ayu Santoso,ayu398@gmail.com,08533982622,06-01-2021,Aktif
169,riNa WiJaya,rina406@outlook.com,08586575692,15-05-2021,NON AKTIF
170,Fitri Permana,fitri988@hotmail.com,08234793564,29-05-2022,aktif
171,Nisa Wibowo,nisa559@yahoo.com,08530737416,2023-08-08,non-aktif
172,Reza Susanto,reza733@hotmail.com,08511797968,2023/09/07,nonaktif
173,Ahmad Nugroho,ahmad832@ymail.com,08581135290,2024/04/25,pending
174,Rudi Setiawan,rudi441@gmail.com,08111438889,2024-06-14,nonaktif
175,Rudi Laksono,rudi603@ymail.com,08135071461,2019/04/21,aktif
176,Wahyu Setiawan,wahyu212@ymail.com,08525717751,2021-05-14,PENDING
177,Sri Santoso,sri664@gmail.com,08133828258,2022-13-10,Aktif
178,RuDI sari,fitri373@gmail.com,08581825537,12-04-2019,pending
179,Bambang Firmansyah,bambang321@ymail.com,08519691557,2024-12-03,PENDING
180,Wahyu Iskandar,wahyu689@yahoo.com,08231341252,2023-24-09,nonaktif
181,Muhammad Ramadhan,muhammad191@hotmail.com,08532827422,2021-12-07,non-aktif
182,Putri Santoso,putri200@hotmail.com,08538767677,2019-11-17,Nonaktif
183,yuni purnomo,yuni231@ymail.com,08222797881,2024-06-03,Aktif
184,Wulan Nugroho,wulan775@gmail.com,08528361340,17-01-2023,aktiff
185,Nur Laksono,nur121@yahoo.com,08219596292,2020-04-26,PENDING
186,Nisa Nugroho,nisa612@ymail.com,08135449481,2019-10-07,Suspend
187,Fauzi Pratama,fauzi136@yahoo.com,08135367294,2022-24-08,nonaktif
188,Nur Hartono,fitri135@outlook.com,08527590175,17 Sep 2018,nonaktif
189,Teguh Wibowo,teguh331@outlook.com,08238929750,2018-07-08,non-aktif
190,DONI SANTOSO,doni879@yahoo.com,08527063242,2021-01-27,nonaktiff
191,Mega Wijaya,mega926@yahoo.com,08116436110,2020-24-05,aktif
192,Eko Hidayat,eko456@gmail.com,08115162713,2022-04-19,pending
193,Andi Kusuma,andi903@outlook.com,08136221890,2024/11/04,Aktif
194,Putri Wibowo,rizki515@gmail.com,08587311219,22-04-2022,SUSPEND
195,Indah Pratama,indah661@gmail.com,08218999404,21 Apr 2020,NON AKTIF
196,Fitri Hartono,fitri56@yahoo.com,08526137918,19-02-2018,Suspend
197,Muhammad Hartono,muhammad583@hotmail.com,08238271091,26-02-2018,Aktif
198,Dewi Hartono,dewi644@ymail.com,08516618892,2021-02-10,AKTIF
199,Ratna Wibowo,ratna160@ymail.com,08236914630,2020-09-28,Suspend
200,Sri Laksono,sri57@outlook.com,08131020275,13 Nov 2023,Pending
201,Mega Sari,mega768@outlook.com,08120564814,2024/06/19,aktif
202,Doni Firmansyah,doni512@ymail.com,08135241913,2023-09-16,aktif
203,budi hidayat,budi373@hotmail.com,08132086353,2022/09/01,AKTIF
204,Rizki Ramadhan,rizki515@gmail.com,08133806174,26-06-2021,aktif
205,Doni Santoso,doni299@ymail.com,08229375973,2024-02-17,aktif
206,Sari Santoso,sari355@gmail.com,08230641383,2022-16-09,SUSPEND
207,RINA SUSANTO,rina944@yahoo.com,08536571918,2019/07/01,PENDING
208,Rizki Ramadhan,rizki446@yahoo.com,08214456557,2021-01-18,aktif
209,Fitri Pratama,fitri599@gmail.com,08131277561,05-01-2024,SUSPEND
210,Hendra Laksono,hendra272@gmail.com,08122490352,2019/01/09,Aktif
211,Putri Hartono,rizki515@gmail.com,08222067883,2019-23-01,aktif
212,muhammad kusuma,muhammad851@yahoo.com,08133651994,2018-11-04,suspand
213,Fitri Laksono,fitri95@outlook.com,08120702966,2023-07-26,nonaktif
214,Teguh Sari,teguh931@yahoo.com,08224720999,2020/10/03,AKTIF
215,Sari Hakim,sari90@outlook.com,08512638380,2022/04/16,aktip
216,Wulan Permana,wulan580@ymail.com,08236420593,01-05-2018,aktif
217,Citra Firmansyah,citra599@yahoo.com,08131334803,2024-16-06,aktiff
218,Agus Sari,agus326@outlook.com,08580599293,10 Jul 2023,AKTIF
219,BAMBANG RAHAYU,bambang239@ymail.com,08210870593,19-06-2019,pending
220,indah rahayu,indah601@yahoo.com,08128515691,10-10-2021,AKTIF
221,Dian Saputra,dian984@hotmail.com,08232895392,30-03-2022,pending
222,lESTARi PRAtama,lestari356@outlook.com,08131570433,05-10-2018,Aktif
223,andi santoso,andi449@hotmail.com,08136765861,18 May 2023,nonaktiff
224,Yuni Sari,yuni819@gmail.com,08220541152,2022-03-18,pending
225,Surya Wijaya,surya629@hotmail.com,08116296201,2021-09-18,SUSPEND
226,Sari Hakim,sari748@ymail.com,08224431069,2024-01-03,aktif
227,Fajar Santoso,fajar302@ymail.com,08523103241,2023-04-24,AKTIF
228,Rudi Permana,rudi677@outlook.com,08128625652,2022-12-31,Aktif
229,Doni Susanto,doni276@ymail.com,08112115869,20 Jul 2020,aktif
230,Ayu Firmansyah,ayu549@hotmail.com,08583741608,28 May 2024,Pending
231,GALIH PRATAMA,galih776@hotmail.com,08132332061,2022-11-19,suspand
232,Rina Iskandar,rina933@gmail.com,08126868548,2023-02-20,Pending
233,Galih Ramadhan,galih430@gmail.com,08512299911,2024-04-23,Pending
234,Wulan Nugroho,wulan271@hotmail.com,08529970246,13 Aug 2019,NON AKTIF
235,Rudi Rahayu,rudi901@outlook.com,08210745054,27-06-2021,panding
236,ANDI HIDAYAT,andi998@hotmail.com,08234691373,2022/07/26,nonaktif
237,Hendro Nugroho,hendro528@yahoo.com,08124862890,2019-12-13,suspend
238,Fitri Rahayu,fitri468@gmail.com,08233457861,2018-05-06,aktip
239,FEbrI LaksONO,febri663@yahoo.com,08214680072,11 Dec 2019,Pending
240,Yuni Susanto,yuni966@outlook.com,08226657437,2021/05/22,Nonaktif
241,Galih Hartono,galih8@ymail.com,08238994417,19-09-2018,suspand
242,Indah Susanto,indah729@outlook.com,08212830965,2019/07/28,aktif
243,Bambang Purnomo,bambang429@hotmail.com,08510993538,2023/05/03,aktiff
244,Wahyu Sari,wahyu898@ymail.com,08134172482,2021/10/06,aktif
245,Putri Hidayat,putri315@hotmail.com,08235494717,2018/08/08,NON AKTIF
246,Galih Wijaya,galih200@ymail.com,08126846022,31-03-2020,nonaktif
247,Nisa laksONo,nisa805@gmail.com,08139666676,2018-01-20,Nonaktif
248,Fajar Santoso,fajar776@ymail.com,08210033542,2019-25-02,Nonaktif
249,wahyu sari,wahyu47@outlook.com,08227898562,2021-04-11,aktip
250,Fitri Sari,fitri941@hotmail.com,08113323098,2019-11-24,aktip
251,Ahmad Hartono,ahmad262@ymail.com,08580901001,2022-04-09,aktip
252,Surya Susanto,ratna595@yahoo.com,08114618499,2019-16-07,PENDING
253,Andi Firmansyah,sri771@ymail.com,08121739348,06-04-2020,pending
254,lestari sari,lestari509@yahoo.com,08525300119,2023-07-17,Suspend
255,Ratna Wijaya,ratna104@outlook.com,08217447012,11-06-2018,aktip
256,Indah Saputra,indah98@gmail.com,08112255794,16-01-2019,PENDING
257,Agus Kusuma,agus986@hotmail.com,08226762120,2019-10-15,nonaktif
258,Eko Permana,eko695@hotmail.com,08139659027,2023-06-23,suspend
259,maya rahayu,putri636@hotmail.com,08118993588,2024-12-07,nonaktif
260,Reza Permana,reza693@hotmail.com,08138900287,2023-07-24,aktif
261,Bambang Setiawan,bambang688@yahoo.com,08118386631,2023-24-02,Pending
262,Maya Wijaya,maya458@outlook.com,08127016608,2024-02-28,PENDING
263,Febri Iskandar,febri912@ymail.com,08533755037,21 Sep 2021,Pending
264,Febri Permana,febri373@hotmail.com,08121305548,09-11-2023,pending
265,Ahmad Sari,ahmad842@hotmail.com,08124933163,2023-02-16,pending
266,andi saputra,andi649@ymail.com,08127798270,2023/12/13,aktif
267,Teguh Ramadhan,teguh521@yahoo.com,08582216995,2023-27-08,nonaktif
268,Febri Hidayat,febri987@outlook.com,08227226984,22-02-2024,pending
269,Surya Wibowo,surya640@outlook.com,08232288515,2024-22-04,NON AKTIF
270,Sari Hakim,sari868@hotmail.com,08118106200,29-03-2020,Pending
271,Dian Purnomo,dian150@gmail.com,08223805719,2024-04-20,pending
272,Surya Hartono,surya804@outlook.com,08116665800,2020-10-26,non-aktif
273,Maya Hidayat,maya722@outlook.com,08588933472,2018-11-02,SUSPEND
274,Ratna Kusuma,ratna439@outlook.com,08534229405,2023/03/26,Suspend
275,Ahmad Pratama,ahmad612@gmail.com,08584798515,2023-11-23,SUSPEND
276,Hendro Wijaya,hendro164@hotmail.com,08538615335,18-09-2021,AKTIF
277,Galih Firmansyah,galih575@gmail.com,08125739930,2021-07-08,Suspend
278,Sri Hartono,ayu864@ymail.com,08118588770,2021/04/29,Aktif
279,Ratna Wijaya,ratna172@ymail.com,08530133613,2024/01/12,suspend
280,Teguh Wijaya,teguh158@gmail.com,08525011024,2024-04-04,Nonaktif
281,Yuni Susanto,yuni462@hotmail.com,08515061809,2018/09/17,NON AKTIF
282,Rizki Nugroho,rizki109@outlook.com,08229147660,2023-04-26,Nonaktif
283,Muhammad Hartono,muhammad870@ymail.com,08222450882,2019-05-20,aktif
284,Febri Hartono,febri970@gmail.com,08223536822,2020-01-24,non-aktif
285,MEGA WIBOWO,mega688@ymail.com,08118781414,2019-02-07,pending
286,Bambang Setiawan,bambang688@yahoo.com,08124913577,06 Sep 2021,nonaktiff
287,Eko Pratama,eko374@outlook.com,08512053364,2022-01-12,pending
288,Bagas Permana,bagas368@outlook.com,08528129142,2024-01-16,Aktif
289,Rizki Wijaya,rizki870@ymail.com,08119969308,03 Dec 2020,suspend
290,Wulan Permana,wulan153@outlook.com,08513942788,2019-06-01,aktip
291,Budi Hidayat,budi826@ymail.com,08138272299,2019/08/22,pending
292,Putri Rahayu,putri500@yahoo.com,08124530385,2022-09-05,Suspend
293,Ahmad Rahayu,ahmad332@gmail.com,08534498926,31-03-2022,NON AKTIF
294,Rizki Firmansyah,rizki997@yahoo.com,08536557790,2023-08-18,nonaktif
295,Yuni Wijaya,yuni288@yahoo.com,08132259136,2021/09/14,aktif
296,Citra Permana,citra166@hotmail.com,08113029922,2023-10-01,suspend
297,RInA RAHAyU,rina483@hotmail.com,08133692929,24-09-2023,Aktif
298,Bagas Laksono,bagas71@yahoo.com,08516210388,2022-09-16,NON AKTIF
299,Agus Permana,sri297@gmail.com,08538117298,2018/01/05,nonaktiff
300,Hendro Saputra,hendro45@ymail.com,08513765991,2022-10-09,Aktif
301,Yuni Wijaya,yuni898@ymail.com,08514300981,2023-10-30,aktip
302,Hendra Setiawan,hendra110@yahoo.com,08519448695,11-11-2024,suspand
303,Rudi Wibowo,rudi803@ymail.com,08522588744,24-06-2024,Pending
304,Rudi Pratama,rudi676@gmail.com,08217213865,05 Mar 2024,pending
305,Dewi Sari,dewi652@gmail.com,08122796114,27-06-2020,aktif
306,Ahmad Hartono,ahmad411@ymail.com,08534902770,2020/04/06,Suspend
307,HENDRo PurnOmo,hendro16@gmail.com,08128489554,15 Jul 2020,SUSPEND
308,Doni Hartono,doni268@yahoo.com,08518181845,25 Apr 2019,SUSPEND
309,Wulan Ramadhan,wulan454@hotmail.com,08587357790,2023-05-29,Aktif
310,Ayu Hidayat,ayu236@outlook.com,08515880434,2019-16-01,pending
311,Bagas Wijaya,bagas183@hotmail.com,08235394237,2020-03-28,pending
312,Mega Wibowo,mega855@yahoo.com,08585211179,28 Jan 2018,SUSPEND
313,Citra Nugroho,citra505@ymail.com,08227284639,2019-06-10,Nonaktif
314,Teguh Permana,teguh34@ymail.com,08236271875,2018-02-04,pending
315,AYU RAMADHAN,ayu371@ymail.com,08222843479,06-11-2021,Aktif
316,Teguh Wibowo,teguh771@outlook.com,08236472929,2020-07-25,pending
317,Reza Hakim,reza391@yahoo.com,08132702672,19 Oct 2023,pending
318,Bambang Purnomo,bambang880@ymail.com,08116120347,2019-30-01,pending
319,Mega Nugroho,mega571@outlook.com,08230615939,2024/06/16,nonaktiff
320,Agus Purnomo,agus690@ymail.com,08527169472,2019/11/18,PENDING
321,Bagas Saputra,bagas586@hotmail.com,08121253554,31 Dec 2020,nonaktiff
322,Fauzi Laksono,fauzi962@outlook.com,08588762202,2020/08/19,Aktif
323,nuR wiBowo,nur671@hotmail.com,08223347228,2019-11-30,aktif
324,Putri Setiawan,putri479@ymail.com,08228728299,2023/02/14,pending
325,Nisa Saputra,nisa655@ymail.com,08225783174,2022-07-02,Aktif
326,wahyu santoso,wahyu835@yahoo.com,08234780774,2018-07-02,Pending
327,Febri Hidayat,febri562@outlook.com,08216866326,2022-03-30,Aktif
328,Teguh Hidayat,teguh820@ymail.com,08224846312,14-07-2019,aktif
329,Doni Iskandar,doni718@ymail.com,08523502080,2020-02-01,AKTIF
330,Muhammad Laksono,muhammad239@gmail.com,08130735647,2022-02-03,pending
331,AHMAD SETIAWAN,ahmad769@yahoo.com,08114618723,2020-21-10,PENDING
332,Sri Hidayat,sri999@hotmail.com,08210371837,2022/05/13,SUSPEND
333,Indah Sari,indah44@ymail.com,08531474350,2020-06-11,Aktif
334,teguh setiawan,teguh814@outlook.com,08581630097,2024-09-08,aktip
335,nUR HiDAYat,nur572@outlook.com,08523065240,2023/06/11,nonaktif
336,Lestari Hakim,lestari195@ymail.com,08138557498,2019-10-19,Nonaktif
337,Maya Purnomo,maya555@outlook.com,08520862095,2024-12-15,AKTIF
338,Rizki Hakim,rizki195@ymail.com,08528294565,2019-03-29,Nonaktif
339,Rizki Rahayu,rizki133@yahoo.com,08113173109,2022/05/11,Nonaktif
340,Galih Ramadhan,galih376@yahoo.com,08581037170,18 Jan 2022,pending
341,Sari Nugroho,sari60@ymail.com,08228014138,2019-02-02,pending
342,WuLaN hArtONo,wulan185@ymail.com,08518528975,14 Jul 2021,suspand
343,Indah Nugroho,indah649@hotmail.com,08239398368,06-11-2020,SUSPEND
344,maya hartono,maya36@outlook.com,08580824043,29-05-2020,aktif
345,Fauzi Hakim,fauzi585@ymail.com,08131075224,12 Feb 2022,Aktif
346,MEGA PURNOMO,rudi139@gmail.com,08211572791,2024/09/04,AKTIF
347,NISA HARTONO,nisa58@outlook.com,08236613906,10-08-2018,Nonaktif
348,Indah Hakim,indah335@ymail.com,08212067998,2019-01-04,nonaktif
349,RUDI PRATAMA,rudi85@hotmail.com,08580864168,2022/11/15,aktif
350,Muhammad Permana,sri477@hotmail.com,08583898331,2020-26-12,AKTIF
351,NISA WIJAYA,nisa424@hotmail.com,08235355904,25-11-2019,non-aktif
352,mAya IskANDAr,maya711@gmail.com,08227705383,14 Apr 2020,Nonaktif
